id,user_id,job_id,status
1,1,1039,Rejected
2,2,1455,Rejected
3,3,1186,Rejected
4,4,1377,Rejected
5,4,1059,Selected
6,4,1599,Rejected
7,4,268,Rejected
8,5,1299,Rejected
9,6,945,Rejected
10,7,1777,Rejected
11,8,1913,Rejected
12,9,1731,Rejected
13,10,951,Rejected
14,10,1512,Rejected
15,10,1646,Rejected
16,10,1911,Rejected
17,10,56,Selected
18,10,1984,Rejected
19,11,1549,Rejected
20,12,987,Rejected
21,13,426,Rejected
22,14,1639,Rejected
23,15,788,Rejected
24,15,809,Rejected
25,15,1674,Rejected
26,15,324,Rejected
27,15,1887,Rejected
28,15,218,Rejected
29,15,1554,Selected
30,15,663,Rejected
31,16,225,Rejected
32,17,564,Rejected
33,18,819,Rejected
34,19,1227,Rejected
35,19,1269,Rejected
36,20,1092,Rejected
37,21,345,Rejected
38,22,1396,Rejected
39,23,647,Rejected
40,24,555,Rejected
41,25,1382,Rejected
42,26,1783,Rejected
43,27,584,Rejected
44,28,712,Rejected
45,29,189,Rejected
46,29,81,Rejected
47,30,202,Selected
48,31,1542,Rejected
49,32,1605,Rejected
50,33,968,Rejected
51,34,836,Rejected
52,34,1186,Rejected
53,35,358,Rejected
54,36,1904,Rejected
55,37,1747,Rejected
56,37,993,Rejected
57,37,871,Rejected
58,37,1502,Rejected
59,37,1425,Rejected
60,37,1132,Selected
61,37,1578,Rejected
62,37,1355,Rejected
63,37,1249,Rejected
64,37,868,Rejected
65,38,649,Selected
66,39,1895,Rejected
67,40,1323,Rejected
68,41,1576,Rejected
69,41,1648,Rejected
70,42,49,Rejected
71,43,22,Rejected
72,44,38,Rejected
73,45,1129,Rejected
74,46,1306,Rejected
75,47,1470,Rejected
76,48,66,Rejected
77,49,1550,Rejected
78,49,365,Rejected
79,49,1800,Rejected
80,49,1202,Rejected
81,49,1548,Rejected
82,49,999,Rejected
83,49,261,Rejected
84,49,1913,Rejected
85,49,1709,Rejected
86,49,1796,Rejected
87,49,644,Rejected
88,49,1496,Rejected
89,49,1862,Rejected
90,50,1899,Rejected
91,51,594,Rejected
92,52,246,Rejected
93,53,446,Rejected
94,53,239,Rejected
95,54,592,Rejected
96,55,213,Rejected
97,55,881,Rejected
98,55,46,Rejected
99,55,1679,Rejected
100,56,1852,Rejected
101,56,785,Selected
102,56,1642,Rejected
103,57,26,Rejected
104,57,1149,Selected
105,58,1871,Rejected
106,59,658,Rejected
107,60,1276,Selected
108,61,1670,Rejected
109,62,825,Rejected
110,62,1065,Rejected
111,62,639,Rejected
112,63,550,Rejected
113,64,1402,Rejected
114,64,437,Rejected
115,65,1467,Rejected
116,66,791,Rejected
117,67,1533,Rejected
118,67,374,Rejected
119,67,1759,Rejected
120,68,1201,Rejected
121,69,403,Rejected
122,70,1997,Rejected
123,70,901,Rejected
124,71,1727,Selected
125,72,722,Rejected
126,72,1583,Rejected
127,72,655,Selected
128,73,1961,Rejected
129,73,928,Rejected
130,73,439,Rejected
131,73,1923,Selected
132,73,1518,Rejected
133,74,112,Rejected
134,75,961,Selected
135,75,105,Rejected
136,76,1680,Rejected
137,77,1524,Rejected
138,78,1212,Rejected
139,79,1045,Selected
140,80,299,Rejected
141,81,482,Rejected
142,81,1553,Rejected
143,82,338,Rejected
144,83,922,Rejected
145,84,1760,Selected
146,84,132,Rejected
147,84,209,Rejected
148,84,1086,Rejected
149,85,1378,Rejected
150,86,1582,Selected
151,86,987,Rejected
152,87,487,Rejected
153,87,1787,Rejected
154,87,1058,Rejected
155,87,1817,Rejected
156,87,1341,Selected
157,87,1349,Rejected
158,87,196,Rejected
159,88,815,Rejected
160,89,1320,Rejected
161,89,1582,Rejected
162,90,559,Rejected
163,91,1044,Rejected
164,91,1899,Rejected
165,91,1710,Rejected
166,91,1730,Rejected
167,92,1858,Rejected
168,93,1547,Rejected
169,94,1248,Selected
170,95,475,Rejected
171,96,1697,Rejected
172,96,730,Rejected
173,97,144,Rejected
174,98,651,Rejected
175,99,4,Rejected
176,100,1831,Rejected
177,101,1669,Selected
178,102,1849,Selected
179,103,882,Rejected
180,103,1229,Selected
181,104,443,Rejected
182,105,133,Rejected
183,106,151,Rejected
184,107,464,Rejected
185,108,1751,Rejected
186,109,108,Rejected
187,110,1673,Rejected
188,110,1781,Rejected
189,111,545,Rejected
190,112,119,Rejected
191,113,1687,Rejected
192,114,761,Rejected
193,114,1383,Selected
194,115,1076,Selected
195,116,1966,Rejected
196,116,964,Rejected
197,116,1907,Rejected
198,116,139,Rejected
199,116,1652,Rejected
200,116,135,Rejected
201,117,1207,Rejected
202,118,831,Rejected
203,118,1339,Rejected
204,118,1883,Rejected
205,119,250,Rejected
206,120,1924,Rejected
207,120,1159,Rejected
208,120,812,Rejected
209,121,1532,Rejected
210,121,930,Rejected
211,122,1253,Rejected
212,123,1580,Rejected
213,124,1478,Rejected
214,124,643,Rejected
215,124,1941,Rejected
216,124,316,Rejected
217,125,1630,Rejected
218,126,1387,Rejected
219,126,109,Rejected
220,127,1917,Rejected
221,127,890,Rejected
222,128,1372,Selected
223,128,771,Rejected
224,128,1848,Rejected
225,129,1461,Rejected
226,130,1941,Rejected
227,131,868,Rejected
228,131,1823,Rejected
229,131,1905,Rejected
230,132,1282,Rejected
231,133,678,Rejected
232,134,235,Rejected
233,135,183,Rejected
234,136,796,Rejected
235,137,218,Selected
236,138,1078,Rejected
237,138,1774,Rejected
238,138,77,Rejected
239,139,974,Selected
240,139,391,Rejected
241,139,1708,Rejected
242,140,115,Rejected
243,141,858,Rejected
244,142,1825,Rejected
245,142,1468,Rejected
246,142,573,Rejected
247,142,1218,Rejected
248,143,1242,Rejected
249,143,420,Rejected
250,143,1218,Rejected
251,143,1210,Rejected
252,143,875,Rejected
253,143,410,Rejected
254,143,1757,Rejected
255,144,1201,Rejected
256,145,564,Rejected
257,146,8,Rejected
258,147,900,Rejected
259,148,657,Rejected
260,148,723,Rejected
261,149,957,Rejected
262,150,826,Rejected
263,151,328,Rejected
264,152,1189,Rejected
265,153,476,Rejected
266,154,514,Rejected
267,155,1309,Rejected
268,155,878,Rejected
269,155,962,Rejected
270,155,557,Rejected
271,156,1381,Rejected
272,157,1058,Selected
273,158,495,Rejected
274,159,1846,Rejected
275,160,250,Rejected
276,160,854,Rejected
277,161,1204,Rejected
278,162,1012,Rejected
279,162,1999,Rejected
280,162,1270,Rejected
281,163,1038,Rejected
282,163,1652,Rejected
283,163,100,Selected
284,164,1490,Rejected
285,165,1324,Rejected
286,165,1600,Rejected
287,165,1582,Rejected
288,166,1319,Selected
289,166,1578,Rejected
290,166,1161,Rejected
291,167,918,Rejected
292,167,953,Rejected
293,168,678,Rejected
294,169,1997,Rejected
295,170,426,Rejected
296,170,1929,Rejected
297,171,1501,Rejected
298,172,210,Rejected
299,173,1136,Rejected
300,174,1141,Rejected
301,174,1540,Selected
302,174,755,Rejected
303,174,157,Rejected
304,174,450,Rejected
305,175,1156,Selected
306,175,274,Selected
307,175,692,Rejected
308,175,396,Rejected
309,176,697,Rejected
310,177,773,Rejected
311,177,1853,Rejected
312,177,795,Rejected
313,177,1917,Rejected
314,177,518,Rejected
315,177,524,Rejected
316,178,1623,Rejected
317,179,667,Rejected
318,179,1376,Rejected
319,179,1800,Rejected
320,180,624,Rejected
321,181,107,Selected
322,182,1128,Rejected
323,183,1691,Rejected
324,184,1925,Selected
325,185,308,Rejected
326,186,1718,Rejected
327,186,1683,Rejected
328,186,344,Rejected
329,186,400,Rejected
330,187,651,Rejected
331,187,1597,Rejected
332,187,318,Rejected
333,187,603,Rejected
334,187,1166,Rejected
335,187,942,Rejected
336,188,945,Rejected
337,189,767,Rejected
338,189,515,Rejected
339,190,141,Rejected
340,190,1530,Rejected
341,191,1384,Rejected
342,191,1040,Rejected
343,191,1942,Rejected
344,191,384,Rejected
345,192,546,Rejected
346,193,735,Rejected
347,194,1731,Rejected
348,194,1813,Rejected
349,195,1589,Rejected
350,196,1798,Rejected
351,197,1395,Rejected
352,198,1832,Rejected
353,199,121,Rejected
354,200,1367,Selected
355,201,987,Rejected
356,201,1688,Rejected
357,201,1984,Rejected
358,201,328,Rejected
359,201,224,Selected
360,201,1293,Rejected
361,201,593,Rejected
362,202,205,Rejected
363,203,423,Rejected
364,204,1642,Rejected
365,204,1814,Rejected
366,205,1796,Rejected
367,206,316,Rejected
368,207,1517,Rejected
369,207,995,Rejected
370,208,237,Selected
371,209,463,Rejected
372,210,1542,Selected
373,211,1119,Rejected
374,212,616,Rejected
375,213,855,Rejected
376,214,468,Rejected
377,215,137,Rejected
378,216,1402,Rejected
379,216,1683,Rejected
380,217,1131,Rejected
381,218,1444,Rejected
382,218,218,Rejected
383,218,639,Rejected
384,219,451,Rejected
385,220,883,Rejected
386,221,219,Rejected
387,222,1495,Rejected
388,222,303,Rejected
389,222,1305,Rejected
390,222,1383,Rejected
391,222,1594,Rejected
392,223,52,Rejected
393,224,1228,Rejected
394,225,760,Rejected
395,226,1011,Rejected
396,227,935,Rejected
397,227,1011,Rejected
398,227,1672,Rejected
399,227,1055,Rejected
400,228,1564,Selected
401,229,1748,Rejected
402,230,1508,Rejected
403,231,1275,Rejected
404,232,606,Rejected
405,233,457,Rejected
406,233,150,Rejected
407,233,230,Rejected
408,233,1078,Rejected
409,233,828,Rejected
410,233,1767,Rejected
411,234,378,Rejected
412,235,1772,Rejected
413,236,1518,Rejected
414,236,470,Rejected
415,237,1650,Rejected
416,238,136,Rejected
417,239,1111,Rejected
418,239,858,Rejected
419,239,898,Rejected
420,239,1102,Rejected
421,239,133,Rejected
422,240,1128,Rejected
423,240,1333,Rejected
424,240,1506,Rejected
425,241,333,Rejected
426,242,164,Rejected
427,242,1885,Rejected
428,242,1021,Rejected
429,242,1414,Rejected
430,243,508,Rejected
431,243,686,Rejected
432,244,451,Selected
433,244,1809,Rejected
434,245,767,Rejected
435,246,64,Rejected
436,247,1295,Rejected
437,247,588,Rejected
438,247,627,Rejected
439,248,1534,Rejected
440,249,61,Rejected
441,249,483,Rejected
442,249,1871,Rejected
443,249,500,Rejected
444,250,256,Rejected
445,250,1580,Rejected
446,251,240,Rejected
447,251,295,Rejected
448,251,1668,Rejected
449,251,1864,Rejected
450,252,1389,Rejected
451,253,47,Rejected
452,254,1293,Selected
453,255,83,Rejected
454,256,1930,Rejected
455,257,1745,Rejected
456,258,1344,Rejected
457,258,218,Rejected
458,258,833,Rejected
459,258,622,Rejected
460,259,959,Rejected
461,260,1417,Rejected
462,261,403,Selected
463,262,823,Rejected
464,263,1055,Rejected
465,263,1168,Rejected
466,263,1790,Rejected
467,263,653,Rejected
468,264,188,Selected
469,265,1988,Rejected
470,265,1554,Rejected
471,265,1010,Rejected
472,266,1989,Rejected
473,267,1782,Rejected
474,268,1001,Rejected
475,269,626,Rejected
476,270,707,Rejected
477,271,1897,Rejected
478,271,1450,Rejected
479,271,1935,Rejected
480,271,1027,Rejected
