job_id,title,company,skills_required,location
1,Quality Analyst,"Davis, Robertson and Lane",project_management;docker;dl;react;aws;flask;accounting;hr,Patiala
2,Accountant,"Evans, Carson and Vincent",docker;ml;marketing;react;nlp;sql,Bathinda
3,Full Stack Developer,Jenkins Ltd,sales;django;flask,Ludhiana
4,Field Officer,Peterson-Williamson,docker;accounting;java;kubernetes;excel;nlp;nodejs;dl,Chandigarh
5,Field Officer,Olsen and Sons,communication;marketing;dl;flask;django;project_management,Bathinda
6,Machine Learning Engineer,Garcia-Patrick,aws;ml;communication;nlp,Mohali
7,Machine Learning Engineer,Washington-Farmer,docker;marketing;nlp;hr;sql,Bathinda
8,Accountant,Mendoza Ltd,dl;c++;marketing;nodejs;java;sales;sql;communication,Mohali
9,Data Analyst,Smith LLC,kubernetes;accounting;django;docker,Hoshiarpur
10,Quality Analyst,Swanson-Shelton,python;react,Patiala
11,Digital Marketer,Wilson-Cook,aws;flask;react;hr;ml;accounting;sql;java,Chandigarh
12,Software Developer,Thompson PLC,java;python;hr;communication;excel;react;sql,Jalandhar
13,Quality Analyst,Shelton and Sons,excel;dl;project_management;docker;react;hr;nlp;c++,Firozpur
14,Field Officer,Turner-Robinson,nlp;marketing;sql;excel;python;flask,Amritsar
15,Full Stack Developer,"Rodriguez, Hayden and Rodriguez",docker;kubernetes;python;java;flask,Amritsar
16,Software Developer,White-Shepherd,communication;accounting;sales;docker;hr;dl,Hoshiarpur
17,Software Developer,"Fox, Armstrong and Johnson",react;sql,Mohali
18,Digital Marketer,Brewer Inc,aws;docker,Patiala
19,Quality Analyst,"Mendoza, Taylor and White",kubernetes;react,Ludhiana
20,Software Developer,Wolf-Wise,sql;java;kubernetes;ml,Mohali
21,Full Stack Developer,Morgan LLC,nlp;marketing;c++;communication;sales;hr;accounting,Chandigarh
22,Full Stack Developer,"Joyce, Powell and Kirby",excel;python;aws;marketing;django,Firozpur
23,Digital Marketer,Foster-Washington,nodejs;docker;django;hr;communication;dl,Bathinda
24,Field Officer,"Pham, Carter and Fields",sql;docker;c++;django,Patiala
25,Quality Analyst,"Ward, Robinson and Allen",kubernetes;aws,Amritsar
26,Accountant,Curry Inc,project_management;react;docker;ml;java;nodejs;python;marketing,Ludhiana
27,Machine Learning Engineer,Goodman-Sanchez,sql;aws;django;dl;ml;kubernetes;project_management,Patiala
28,Full Stack Developer,Sanchez-Oconnor,aws;react;django;ml;docker;marketing;nlp,Chandigarh
29,Data Analyst,"Evans, Ellis and Williams",python;sql;docker;flask,Mohali
30,HR Executive,Best-Cross,accounting;hr;project_management;sql;aws,Jalandhar
31,Digital Marketer,Rich LLC,python;flask,Firozpur
32,Data Analyst,"Sharp, Mendoza and Adams",react;ml;accounting;hr;java,Bathinda
33,Full Stack Developer,Price PLC,sales;c++,Mohali
34,Software Developer,"Wright, Pollard and Lawrence",excel;ml,Mohali
35,HR Executive,Carr LLC,nlp;communication,Hoshiarpur
36,Software Developer,"Wilkerson, Willis and Richards",c++;react;aws;excel;java,Hoshiarpur
37,Quality Analyst,"Clark, Chang and Johnson",flask;docker;excel;sql;hr;sales;aws,Amritsar
38,Accountant,Wilson-Gonzalez,react;nodejs,Chandigarh
39,HR Executive,"Glass, Barajas and Moore",nlp;dl;kubernetes,Ludhiana
40,Data Analyst,Aguilar-Owen,docker;aws;kubernetes;c++;java,Jalandhar
41,Data Analyst,Johnson-Richardson,kubernetes;nlp;docker;django,Patiala
42,Quality Analyst,Frye and Sons,django;excel;react;nlp,Hoshiarpur
43,Full Stack Developer,"Taylor, Hurst and Johnson",nlp;flask,Hoshiarpur
44,HR Executive,Rodriguez LLC,sales;c++;nodejs;react;sql;aws;flask;project_management,Bathinda
45,Digital Marketer,Kelley Group,sql;marketing;project_management;accounting;docker;excel;nodejs,Amritsar
46,Accountant,King Group,docker;ml;nodejs;aws,Amritsar
47,Software Developer,Lynch-Sanchez,docker;react;marketing;java;ml,Firozpur
48,Sales Executive,Boyd-Simon,hr;dl;flask;python;nodejs;marketing,Jalandhar
49,Field Officer,"Vaughn, Smith and Dunn",kubernetes;communication,Hoshiarpur
50,Data Analyst,Murphy PLC,hr;sales;project_management;kubernetes;python;django;c++;communication,Ludhiana
51,Data Analyst,"Shah, Williamson and Oliver",nlp;communication,Hoshiarpur
52,HR Executive,Butler-Mccoy,dl;accounting;ml;flask;sales;c++;communication,Hoshiarpur
53,Machine Learning Engineer,Stewart-Thomas,nlp;aws;kubernetes;communication;java,Mohali
54,Data Analyst,"Barnes, Gray and Brown",python;docker,Ludhiana
55,Quality Analyst,Williams-Cook,accounting;nodejs,Mohali
56,HR Executive,"Berry, Martin and Payne",project_management;nlp;nodejs;dl,Chandigarh
57,Full Stack Developer,Adams-Bean,communication;docker;dl;marketing;kubernetes;flask;react;hr,Amritsar
58,Machine Learning Engineer,Cooper and Sons,docker;django;sales,Bathinda
59,Digital Marketer,"Randolph, Buchanan and Sutton",c++;django;react,Ludhiana
60,Machine Learning Engineer,Martinez-Castaneda,flask;aws;project_management,Amritsar
61,Sales Executive,Ward-Cortez,aws;accounting;react;ml;django,Ludhiana
62,Accountant,"Davis, Morrow and Lin",nodejs;accounting;aws;marketing;communication;sales;docker;python,Ludhiana
63,Machine Learning Engineer,Mcclure-Jimenez,ml;python;docker;accounting;react;dl;sales,Amritsar
64,Accountant,"Morse, Ward and Butler",aws;accounting;java;sales;react;dl,Amritsar
65,HR Executive,"Hill, Nelson and Jimenez",nodejs;react;java;nlp;sql;accounting;excel,Hoshiarpur
66,HR Executive,Cook Group,project_management;excel,Ludhiana
67,Data Analyst,Beltran-Chapman,c++;project_management,Bathinda
68,Machine Learning Engineer,"Montgomery, Olson and Hull",c++;docker;sales,Hoshiarpur
69,Data Analyst,Chandler Ltd,java;sales;accounting;hr;communication;flask,Amritsar
70,HR Executive,Daniels-Mcdowell,accounting;c++;nodejs;hr;excel;marketing,Firozpur
71,HR Executive,Wood PLC,kubernetes;aws;hr;ml;django,Chandigarh
72,Machine Learning Engineer,Drake-Stafford,project_management;flask;sales;kubernetes;java;c++;accounting,Patiala
73,Machine Learning Engineer,Peterson-Benson,accounting;marketing;ml;docker,Patiala
74,Accountant,"Robinson, Jimenez and Williams",kubernetes;sql;project_management,Mohali
75,Full Stack Developer,Dominguez-Huerta,docker;nodejs;accounting;nlp;excel,Mohali
76,Data Analyst,"Brooks, Wyatt and Campos",accounting;sales;flask;c++;ml,Bathinda
77,Digital Marketer,Webb and Sons,flask;c++;accounting;django,Patiala
78,Quality Analyst,Frost PLC,communication;ml;aws;excel;nodejs,Patiala
79,Field Officer,White Ltd,hr;java;sql;python;nodejs,Mohali
80,Software Developer,Smith-Nichols,hr;nodejs,Mohali
81,Data Analyst,"Mcintyre, Montes and Lucero",communication;marketing;project_management;ml;django;excel;nodejs;hr,Ludhiana
82,HR Executive,"Owens, Johnson and Miller",c++;accounting;ml;nodejs;kubernetes;hr,Firozpur
83,Digital Marketer,"Wilson, Roman and Velez",python;hr,Jalandhar
84,Software Developer,Evans-Morgan,docker;project_management;nlp;c++;java,Hoshiarpur
85,Data Analyst,"Hamilton, Davis and George",react;sales;excel;java,Amritsar
86,Data Analyst,Doyle Ltd,django;ml;docker;hr;kubernetes;marketing;project_management,Jalandhar
87,Data Analyst,"Matthews, Dickerson and Cameron",nlp;ml;sql;flask;java;dl;react,Patiala
88,Accountant,Roberts Ltd,nodejs;hr;sql,Mohali
89,Accountant,"Summers, Nelson and Garza",project_management;aws;java;hr;excel;ml;nodejs,Patiala
90,Full Stack Developer,"Dominguez, Collins and Gray",java;sql;marketing;accounting;aws;communication,Patiala
91,Data Analyst,Martinez-Watkins,docker;c++;marketing;dl;accounting,Firozpur
92,Accountant,Lee-Simon,django;ml,Mohali
93,Machine Learning Engineer,Garcia Group,django;hr;nlp;sales,Firozpur
94,Field Officer,"West, Lopez and Hughes",accounting;aws;hr;excel;nodejs,Patiala
95,Software Developer,Ayers-Tran,python;nlp,Jalandhar
96,HR Executive,Hernandez LLC,django;dl;python;c++;kubernetes,Chandigarh
97,Quality Analyst,"Robertson, Martin and Montgomery",nodejs;communication;docker;kubernetes;c++;sql,Chandigarh
98,HR Executive,Simpson-Simmons,c++;nodejs;ml;sales;accounting;django;docker;python,Patiala
99,Sales Executive,Diaz Group,hr;project_management;nodejs,Bathinda
100,Quality Analyst,Adkins and Sons,c++;excel;aws;project_management;hr,Chandigarh
101,Software Developer,"Smith, Rios and Beck",react;python;docker;java;hr;accounting;communication;excel,Hoshiarpur
102,Sales Executive,Thompson Inc,accounting;docker;excel,Chandigarh
103,Field Officer,"Beck, Stephens and Harris",hr;c++;kubernetes;react;dl;communication;marketing,Amritsar
104,Machine Learning Engineer,Carter-Adams,react;django,Hoshiarpur
105,Digital Marketer,"Williams, Robinson and Griffith",excel;sql;project_management,Bathinda
106,Machine Learning Engineer,Obrien Ltd,nlp;accounting,Hoshiarpur
107,Software Developer,"Nguyen, Frederick and Weber",c++;communication;sql;sales;ml;java;excel;python,Patiala
108,Digital Marketer,Atkinson-Bailey,sql;sales;project_management,Chandigarh
109,Quality Analyst,Hall Inc,sql;nodejs;java;aws;dl;django,Amritsar
110,Data Analyst,Lewis and Sons,java;aws;hr;flask;project_management;sql,Patiala
111,Field Officer,Hardin-Fields,nlp;sales;marketing;sql;c++,Chandigarh
112,Software Developer,"Patterson, Hill and Perez",sales;marketing;java;aws,Ludhiana
113,Software Developer,Mccall-Johnson,hr;docker,Jalandhar
114,Quality Analyst,"Lowe, Hays and King",project_management;ml;flask;excel;marketing;aws,Chandigarh
115,Sales Executive,"Williams, Sanchez and Mcconnell",project_management;hr;aws;communication;python,Ludhiana
116,Machine Learning Engineer,Powell-Miller,communication;flask;marketing,Amritsar
117,Accountant,Wilcox-Livingston,aws;accounting;flask;marketing,Bathinda
118,Accountant,Maynard LLC,aws;c++;hr,Chandigarh
119,Software Developer,Bryant Ltd,nodejs;c++;aws;excel;flask;hr,Firozpur
120,Digital Marketer,Davis-Turner,flask;hr;python;java;excel,Jalandhar
121,Field Officer,Dawson-Gilmore,c++;sql;java;django;project_management;hr;marketing,Firozpur
122,Sales Executive,Poole-Foster,dl;communication;kubernetes;python;accounting,Amritsar
123,Full Stack Developer,George-Edwards,django;sql;communication;marketing;java;react;ml,Patiala
124,Field Officer,Zavala-Smith,communication;aws;flask;hr;react;dl;docker;accounting,Bathinda
125,Digital Marketer,Castillo-Miller,excel;react;docker;aws,Bathinda
126,Accountant,Carson Ltd,communication;python;aws;java;hr;marketing;nlp;c++,Mohali
127,Data Analyst,Daniel-Norris,accounting;nlp;sales;hr;project_management;sql;excel,Bathinda
128,Full Stack Developer,Gomez PLC,react;django;docker;marketing;flask;dl;excel;ml,Jalandhar
129,Accountant,Wilcox-Scott,flask;aws;java;project_management;react;nodejs;kubernetes,Amritsar
130,Sales Executive,"Thompson, Sanchez and Chan",c++;docker;hr;nodejs;react;project_management;aws,Mohali
131,Machine Learning Engineer,Freeman-Franklin,docker;excel;nlp;flask,Firozpur
132,Data Analyst,"Schwartz, Shepherd and Roberson",project_management;nodejs;dl;react;ml;nlp,Amritsar
133,Machine Learning Engineer,Boyle LLC,c++;dl,Bathinda
134,Machine Learning Engineer,Brooks and Sons,marketing;accounting,Hoshiarpur
135,Digital Marketer,Griffith PLC,communication;project_management;java;python;kubernetes;flask;django;react,Bathinda
136,Full Stack Developer,"Ross, Gonzalez and Valencia",flask;react;ml;nodejs;kubernetes;java,Firozpur
137,HR Executive,Harris-Blackburn,flask;docker;marketing,Bathinda
138,Accountant,Mccormick Ltd,dl;communication;project_management;java,Chandigarh
139,Sales Executive,Welch-Garcia,c++;kubernetes;accounting;flask;dl;sales;marketing;docker,Firozpur
140,Quality Analyst,Williams Ltd,flask;c++;marketing;react;docker;excel;hr;nodejs,Firozpur
141,Software Developer,"Hall, Hutchinson and Wright",c++;accounting;java;sql;hr;ml,Firozpur
142,Quality Analyst,"Roberts, Garcia and Reynolds",hr;flask;ml;excel;react;nodejs;sql,Hoshiarpur
143,Full Stack Developer,Phillips-Thomas,project_management;python;kubernetes;accounting;django;java;sales;flask,Firozpur
144,Machine Learning Engineer,Hernandez-Acevedo,project_management;java,Ludhiana
145,Sales Executive,Patrick-Howard,kubernetes;accounting;dl;excel;flask;aws,Hoshiarpur
146,Full Stack Developer,Riley LLC,project_management;communication;excel;dl,Bathinda
147,Full Stack Developer,"Roberts, Rogers and Fernandez",django;aws;sales;java;project_management;ml;nodejs,Amritsar
148,Full Stack Developer,Wallace-Wood,kubernetes;dl,Amritsar
149,Data Analyst,Wright-Stanton,flask;hr;marketing;sales;docker;nodejs;nlp;django,Ludhiana
150,Quality Analyst,"Salazar, Lane and Simpson",docker;marketing;communication;project_management;sales,Chandigarh
151,Machine Learning Engineer,Baker Ltd,django;python;excel;kubernetes;react;marketing;nlp,Patiala
152,Data Analyst,"Wilson, Morgan and Salazar",sql;flask,Hoshiarpur
153,Quality Analyst,Williams-Thomas,excel;hr;project_management;react;flask;communication;accounting,Jalandhar
154,Field Officer,Thomas and Sons,excel;c++;java;nodejs;dl;accounting;nlp;aws,Patiala
155,Field Officer,Riley and Sons,c++;kubernetes;java;nlp,Jalandhar
156,Machine Learning Engineer,Robinson-Scott,kubernetes;sales;excel;dl,Amritsar
157,Software Developer,Burns-Smith,python;react;hr;django;ml;c++;java,Jalandhar
158,Machine Learning Engineer,"Pennington, Schultz and Sanders",react;ml;aws;c++;accounting,Jalandhar
159,Field Officer,"Martin, Pacheco and Hester",django;ml;sql;flask;accounting;kubernetes,Mohali
160,Quality Analyst,"Smith, Livingston and Zimmerman",aws;nlp;communication;kubernetes;hr;ml,Jalandhar
161,Field Officer,Valenzuela-Roberts,react;nlp;sales,Jalandhar
162,Digital Marketer,Nguyen-Flores,sales;hr;nodejs,Ludhiana
163,HR Executive,"Donovan, King and Ray",aws;nlp,Mohali
164,Digital Marketer,Valentine-James,django;communication;hr;docker;aws,Bathinda
165,Software Developer,Best PLC,ml;nlp,Patiala
166,Data Analyst,"Howard, Howard and Harris",aws;accounting;java;kubernetes;sales;python;hr,Hoshiarpur
167,Accountant,"Leblanc, Jones and Owen",hr;kubernetes;django;java;nlp;flask;marketing,Hoshiarpur
168,Data Analyst,Gonzalez-Watson,java;accounting;marketing;dl;react;docker,Bathinda
169,Data Analyst,"Roy, Ponce and Schultz",flask;accounting;java;sales;communication,Firozpur
170,Data Analyst,Ochoa-Miller,excel;dl;flask;nlp,Chandigarh
171,Digital Marketer,Mcdonald and Sons,nlp;dl;java;nodejs,Chandigarh
172,Machine Learning Engineer,Martin-Saunders,kubernetes;hr,Chandigarh
173,Data Analyst,"Lewis, Rivera and Payne",project_management;excel;react;accounting;django,Chandigarh
174,HR Executive,"Alvarez, Simpson and Adams",nodejs;docker,Mohali
175,Sales Executive,"Higgins, Anderson and Holder",flask;dl;c++;communication;ml,Amritsar
176,Accountant,Cruz-Collins,accounting;flask,Ludhiana
177,HR Executive,Maddox-Ward,aws;dl;ml;marketing;java;nlp,Hoshiarpur
178,Quality Analyst,Lynch-Sheppard,sql;c++;communication;django;java;react;sales,Chandigarh
179,Sales Executive,Hernandez-Huff,aws;excel;project_management;ml,Hoshiarpur
180,Digital Marketer,"Frazier, Henderson and Fleming",dl;ml;react;python,Ludhiana
181,Accountant,"Fowler, Rice and Taylor",dl;python;accounting;sales;hr,Mohali
182,Machine Learning Engineer,"Fitzpatrick, Cummings and Thomas",java;excel;ml;nlp;kubernetes;project_management,Hoshiarpur
183,Accountant,"Cole, Rivera and Parker",nodejs;flask;accounting;docker,Firozpur
184,HR Executive,Shaffer Inc,nlp;flask;sql,Hoshiarpur
185,Sales Executive,Reed Inc,excel;java;sales;nlp;c++;ml;docker,Firozpur
186,Software Developer,Young-Byrd,ml;project_management,Chandigarh
187,Data Analyst,Reed and Sons,excel;sql,Jalandhar
188,Machine Learning Engineer,"Brown, Washington and Medina",c++;docker;react;java;dl;sales;flask;project_management,Hoshiarpur
189,Software Developer,"Smith, Cooper and Flores",c++;excel;docker;react;nodejs,Amritsar
190,Data Analyst,"Murillo, Thomas and Thomas",nlp;aws;project_management;hr;accounting;java,Jalandhar
191,HR Executive,Thompson-Williams,nodejs;communication;kubernetes;java;sql,Ludhiana
192,Software Developer,Walker Group,accounting;excel;ml,Ludhiana
193,Machine Learning Engineer,Hale and Sons,project_management;sql;dl;c++;nodejs;accounting;java,Chandigarh
194,Digital Marketer,Hall-Howell,nlp;sales;django;sql;ml;marketing;java;nodejs,Mohali
195,Digital Marketer,"Barry, Wright and Wilkins",accounting;communication;react;c++;excel;dl;docker;kubernetes,Firozpur
196,Software Developer,Cox-Nielsen,sales;flask;c++;sql;project_management;dl;marketing;kubernetes,Ludhiana
197,Data Analyst,Holt-Park,dl;excel,Firozpur
198,Digital Marketer,Parker Inc,marketing;communication;nodejs;accounting,Bathinda
199,Quality Analyst,Hardy-Santana,c++;accounting;react;python;nlp;nodejs,Firozpur
200,Sales Executive,"Garza, Garcia and Flores",nodejs;kubernetes;sales;hr;react;sql;java,Jalandhar
201,HR Executive,"Howell, Adams and Walton",marketing;sql;java;c++;nodejs;dl;flask,Ludhiana
202,Machine Learning Engineer,Nixon-Robinson,aws;kubernetes;django;dl;ml,Firozpur
203,Software Developer,"Bridges, Stephens and Johnson",communication;hr;react;project_management;dl;accounting,Jalandhar
204,Sales Executive,Dunn-Nolan,react;flask;project_management;aws;django;sales;c++,Mohali
205,Full Stack Developer,Jones-Gutierrez,python;nlp;nodejs,Firozpur
206,Field Officer,"Hoover, Horton and Mays",aws;django,Bathinda
207,Quality Analyst,Baker-Williams,excel;hr,Ludhiana
